iter	Passed	Remaining
0	35	14353
1	82	16377
2	121	16141
3	187	18567
4	236	18714
5	281	18452
6	318	17901
7	346	16969
8	384	16693
9	399	15580
10	416	14731
11	455	14720
12	494	14723
13	535	14766
14	583	14979
15	619	14874
16	656	14781
17	686	14575
18	729	14624
19	744	14150
20	787	14205
21	848	14584
22	894	14660
23	935	14655
24	976	14644
25	1011	14543
26	1062	14675
27	1096	14563
28	1148	14688
29	1193	14719
30	1218	14507
31	1260	14497
32	1297	14432
33	1343	14460
34	1383	14430
35	1433	14492
36	1499	14708
37	1551	14781
38	1641	15193
39	1739	15656
40	1816	15903
41	1889	16104
42	1972	16378
43	2048	16570
44	2131	16813
45	2197	16909
46	2260	16977
47	2334	17121
48	2411	17277
49	2484	17389
50	2588	17712
51	2665	17835
52	2693	17635
53	2743	17577
54	2810	17626
55	2877	17673
56	2966	17849
57	3032	17882
58	3105	17950
59	3190	18078
60	3277	18212
61	3387	18465
62	3463	18529
63	3550	18642
64	3667	18900
65	3761	19037
66	3896	19365
67	3975	19411
68	4058	19467
69	4144	19539
70	4219	19550
71	4337	19759
72	4404	19730
73	4489	19778
74	4601	19939
75	4702	20049
76	4778	20046
77	4850	20023
78	4976	20219
79	5074	20298
80	5190	20442
81	5250	20362
82	5338	20388
83	5450	20502
84	5529	20492
85	5650	20632
86	5718	20573
87	5823	20645
88	5920	20686
89	6006	20689
90	6134	20831
91	6194	20739
92	6256	20651
93	6322	20582
94	6380	20485
95	6450	20425
96	6511	20339
97	6604	20351
98	6670	20281
99	6739	20218
100	6810	20162
101	6886	20119
102	6967	20090
103	7079	20149
104	7113	19986
105	7187	19935
106	7278	19930
107	7368	19923
108	7474	19955
109	7587	20004
110	7658	19939
111	7748	19924
112	7819	19860
113	7912	19850
114	8003	19835
115	8085	19795
116	8172	19766
117	8250	19717
118	8347	19711
119	8431	19673
120	8541	19694
121	8644	19698
122	8771	19753
123	8846	19691
124	8964	19720
125	9036	19651
126	9069	19496
127	9158	19460
128	9241	19413
129	9344	19408
130	9449	19403
131	9542	19375
132	9626	19325
133	9744	19343
134	9843	19322
135	9926	19268
136	9960	19121
137	10034	19051
138	10142	19045
139	10186	18917
140	10256	18840
141	10298	18711
142	10395	18683
143	10492	18652
144	10614	18666
145	10735	18676
146	10811	18607
147	10931	18613
148	11045	18606
149	11190	18651
150	11274	18591
151	11368	18548
152	11478	18530
153	11596	18524
154	11683	18467
155	11762	18398
156	11852	18345
157	11948	18300
158	12069	18294
159	12155	18233
160	12231	18156
161	12294	18062
162	12417	18055
163	12514	18008
164	12598	17943
165	12684	17880
166	12773	17822
167	12899	17813
168	12957	17711
169	13014	17607
170	13136	17592
171	13242	17554
172	13348	17515
173	13437	17452
174	13524	17388
175	13624	17340
176	13663	17214
177	13779	17186
178	13867	17121
179	13900	16989
180	13981	16917
181	14099	16888
182	14210	16850
183	14310	16799
184	14347	16674
185	14445	16620
186	14532	16553
187	14628	16496
188	14687	16397
189	14818	16378
190	14898	16302
191	14996	16246
192	15108	16204
193	15185	16125
194	15272	16055
195	15370	15997
196	15411	15881
197	15511	15824
198	15600	15757
199	15667	15667
200	15783	15626
201	15877	15562
202	16015	15542
203	16107	15476
204	16208	15418
205	16320	15369
206	16441	15329
207	16519	15248
208	16600	15170
209	16710	15118
210	16821	15067
211	16930	15013
212	17029	14950
