iter	RMSE
0	127856.8114
1	125331.4762
2	122749.7836
3	120400.9267
4	118010.3921
5	115613.6367
6	113376.6857
7	111254.978
8	109228.9655
9	107229.9717
10	105330.5377
11	103555.8332
12	101775.6515
13	100108.1909
14	98581.43668
15	97079.46243
16	95487.00117
17	94035.34992
18	92650.93415
19	91324.84322
20	89994.74807
21	88718.92624
22	87526.65204
23	86382.95673
24	85313.68248
25	84083.67705
26	82832.56432
27	81646.63417
28	80552.21557
29	79417.66198
30	78391.38115
31	77508.30177
32	76612.58916
33	75707.21878
34	74820.54235
35	74056.99249
36	73341.20869
37	72541.53906
38	71758.46954
39	71019.8118
40	70306.89959
41	69628.29868
42	69042.19046
43	68437.69947
44	67972.79837
45	67429.65658
46	66998.41701
47	66427.33122
48	65933.59731
49	65390.27419
50	64888.96871
51	64407.45126
52	63989.81018
53	63583.6012
54	63101.26011
55	62629.27634
56	62422.95023
57	61977.46281
58	61604.44397
59	61318.73918
60	61047.84208
61	60651.81923
62	60355.73772
63	60044.08022
64	59717.64321
65	59264.01472
66	58981.52214
67	58705.01754
68	58402.38504
69	58108.3244
70	57786.15888
71	57327.02706
72	57155.7087
73	56933.697
74	56650.62556
75	56393.9141
76	56104.56418
77	55808.13015
78	55542.52475
79	55235.86457
80	55073.82656
81	54938.3388
82	54724.43654
83	54480.53755
84	54237.89064
85	54062.71868
86	53871.54149
87	53687.42678
88	53525.81817
89	53413.30382
90	53196.27343
91	53036.01978
92	52901.12976
93	52751.37831
94	52569.46122
95	52432.44033
96	52277.89394
97	52163.15017
98	51927.94205
99	51762.47288
100	51457.45826
101	51259.03749
102	51183.69353
103	50916.20143
104	50802.81162
105	50686.14101
106	50552.35839
107	50476.43007
108	50355.07306
109	50264.73125
110	50157.36654
111	50109.0208
112	49868.07152
113	49783.24814
114	49738.60363
115	49660.35539
116	49593.69928
117	49313.82966
118	49157.3506
119	49060.54231
120	48851.65919
121	48795.96283
122	48763.57742
123	48655.82919
124	48536.89454
125	48488.73192
126	48406.73204
127	48323.55865
128	48192.71599
129	47980.10157
130	47900.57407
131	47823.1416
132	47708.34557
133	47552.71022
134	47517.03432
135	47445.57282
136	47361.75738
137	47322.06099
138	47273.88243
139	47251.01373
140	47213.22617
141	47080.45236
142	47022.73339
143	46920.77974
144	46825.12918
145	46759.91206
146	46693.56443
147	46611.71103
148	46397.03296
149	46358.76945
150	46182.33837
151	46128.64441
152	46081.99865
153	46030.74781
154	45962.5597
155	45933.43524
156	45850.69202
157	45779.135
158	45641.01997
159	45585.0053
160	45561.13574
161	45505.24923
162	45469.15709
163	45386.61627
164	45218.97215
165	45187.37722
166	45163.55916
167	45108.81558
168	45059.28433
169	45031.2209
170	44909.77186
171	44837.18739
172	44787.88108
173	44773.88356
174	44688.58228
175	44590.48745
176	44566.82369
177	44526.9203
178	44452.30023
179	44430.38125
180	44363.62218
181	44351.02034
182	44290.42876
183	44285.45224
184	44228.93422
185	44187.91534
186	44145.05894
187	44099.62273
188	44051.77003
189	43996.06498
190	43851.97842
191	43789.94726
192	43759.96094
193	43711.92502
194	43661.79394
195	43634.52661
196	43618.65848
197	43562.46901
198	43528.01612
199	43508.61543
200	43347.63578
201	43311.74227
202	43264.20579
203	43236.62175
204	43174.54401
205	43127.11001
206	43084.88251
207	43028.2763
208	42955.82133
209	42922.00847
210	42880.01441
211	42840.90634
212	42833.18677
213	42816.03366
214	42693.80344
215	42615.42128
216	42557.35402
217	42543.47149
218	42491.56118
219	42461.17004
220	42408.03154
221	42399.90909
222	42274.2944
223	42260.03591
224	42230.39839
225	42107.36156
226	42081.995
227	42068.6624
228	42055.73391
229	42029.86376
230	42022.67207
231	41973.29378
232	41963.83784
233	41912.34404
234	41887.67863
235	41774.36129
236	41717.41364
237	41698.78275
238	41679.52832
239	41668.34962
240	41567.72119
241	41557.63243
242	41554.47007
243	41525.79968
244	41511.01247
245	41476.96214
246	41360.62609
247	41321.45509
248	41309.41334
249	41203.9506
250	41191.82214
251	41107.08866
252	41087.36505
253	41064.67848
254	41060.18418
255	41014.83128
256	40980.95858
257	40893.79551
258	40862.71132
259	40854.01958
260	40810.01254
261	40750.62882
262	40655.17398
263	40632.34218
264	40628.3531
265	40596.69758
266	40586.38081
267	40564.58218
268	40560.86612
269	40458.73833
270	40451.58731
271	40442.74477
272	40410.70863
273	40390.9142
274	40381.93137
275	40361.35726
276	40255.08448
277	40235.39765
278	40217.36829
279	40198.51776
280	40111.84013
281	40084.48837
282	40026.67402
283	39998.5845
284	39956.56619
285	39861.70776
286	39831.80682
287	39813.59066
288	39810.6829
289	39774.80121
290	39755.31075
291	39731.08944
292	39714.04694
293	39625.70269
294	39608.80304
295	39586.07163
296	39560.99952
297	39556.39674
298	39553.5386
299	39545.7971
300	39523.95259
301	39519.48094
302	39511.18777
303	39508.32978
304	39500.86077
305	39484.27556
306	39468.59804
307	39452.05548
308	39423.37524
309	39399.70095
310	39393.84059
311	39389.84987
312	39375.66185
313	39368.40415
314	39340.53625
315	39257.9275
316	39232.60307
317	39158.01799
318	39143.25506
319	39127.77594
320	39079.68426
321	39058.64035
322	39036.88999
323	39030.44948
324	38963.98631
325	38960.63221
326	38953.26918
327	38935.83701
328	38921.26132
329	38894.96824
330	38834.24849
331	38786.64909
332	38784.26097
333	38764.20377
334	38748.11149
335	38724.51385
336	38719.16425
337	38706.84963
338	38651.05603
339	38594.91008
340	38582.06882
341	38579.56885
342	38576.73288
343	38531.61772
344	38519.99598
345	38514.37463
346	38495.31867
347	38489.74663
348	38470.77594
349	38466.21275
350	38457.80088
351	38449.73205
352	38445.33784
353	38439.87915
354	38435.00536
355	38368.66738
356	38357.6866
357	38353.03537
358	38333.29714
359	38330.89122
360	38313.48893
361	38303.62608
362	38293.20789
363	38281.59662
364	38277.30334
365	38265.93092
366	38256.54103
367	38250.38085
368	38239.25474
369	38172.69752
370	38161.63977
371	38099.46172
372	38086.79092
373	38077.78971
374	38049.25592
375	38045.1335
376	38041.03247
377	38025.78874
378	37997.14427
379	37979.26924
380	37954.89771
381	37915.23259
382	37906.35402
383	37897.73487
384	37894.1583
385	37882.8645
386	37857.39572
387	37847.75271
388	37839.5568
389	37831.60033
390	37808.97024
391	37761.11477
392	37753.32083
393	37745.68419
394	37706.46213
395	37664.79644
396	37636.83952
397	37577.3785
398	37568.72179
399	37567.45697
