iter	RMSE
0	76402.71654
1	75202.41564
2	73812.21543
3	72575.20819
4	71466.74266
5	70396.21442
6	69405.51806
7	68400.43902
8	67392.47483
9	66461.15229
10	65498.34686
11	64565.13358
12	63776.69719
13	63081.66838
14	62382.70744
15	61595.01365
16	60941.7848
17	60395.41383
18	59753.1442
19	59235.72534
20	58560.9713
21	58028.1187
22	57529.16896
23	56971.10153
24	56614.34618
25	56128.91424
26	55679.14235
27	55288.40913
28	54967.67247
29	54637.09175
30	54308.20179
31	53911.9509
32	53582.03042
33	53319.0173
34	53041.13421
35	52714.18977
36	52466.76596
37	52149.23035
38	51936.38642
39	51840.98471
40	51572.20153
41	51379.96098
42	51100.51937
43	50868.43554
44	50768.26013
45	50403.48749
46	50319.83201
47	49992.00001
48	49828.89057
49	49667.52706
50	49462.70488
51	49217.38508
52	49032.10547
53	48775.38997
54	48586.35322
55	48419.79937
56	48308.97606
57	48162.23842
58	47997.32653
59	47864.25213
60	47795.96947
61	47760.06528
62	47594.3147
63	47535.67626
64	47424.97369
65	47405.53692
66	47265.82243
67	47015.14903
68	46920.94941
69	46812.48317
70	46757.80285
71	46619.57501
72	46567.18191
73	46526.01805
74	46407.39228
75	46306.12542
76	46168.00185
77	46141.10976
78	46083.04947
79	46068.73448
80	45976.12048
81	45847.42728
82	45693.66288
83	45576.77156
84	45465.57907
85	45353.50131
86	45236.11501
87	45156.18525
88	45016.65146
89	44961.37074
90	44934.63129
91	44899.98995
92	44578.35049
93	44467.88623
94	44386.78304
95	44328.78546
96	44258.77979
97	44140.61933
98	44069.2996
99	44050.11929
100	44040.31886
101	44002.61367
102	43872.92189
103	43852.41863
104	43757.08268
105	43728.93195
106	43675.73148
107	43524.94554
108	43390.30609
109	43094.98393
110	43086.71895
111	43009.08096
112	42954.98724
113	42882.12974
114	42610.57119
115	42602.80334
116	42555.00865
117	42541.79297
118	42370.14609
119	42360.89684
120	42274.82352
121	42224.20082
122	42122.18894
123	42095.44802
124	41865.0776
125	41854.99297
126	41848.73313
127	41832.02061
128	41793.09493
129	41755.28775
130	41749.54906
131	41690.05608
132	41684.55145
133	41643.43821
134	41563.39599
135	41511.41883
136	41390.0429
137	41348.81111
138	41112.93213
139	41099.24892
140	40988.44832
141	40983.72187
142	40952.52458
143	40879.72638
144	40818.90131
145	40732.88707
146	40501.93163
147	40497.60109
148	40449.79636
149	40439.09496
150	40435.0324
151	40425.53447
152	40421.64708
153	40289.6839
154	40273.63969
155	40242.72411
156	40098.55131
157	40088.61754
158	40073.89822
159	40066.23154
160	39993.69994
161	39950.35554
162	39943.00514
163	39766.66044
164	39706.35394
165	39687.37259
166	39620.48212
167	39570.55921
168	39387.07536
169	39323.97074
170	39315.47327
171	39261.90412
172	39249.87213
173	39088.58172
174	39041.13543
175	38890.91774
176	38854.54972
177	38848.09716
178	38731.57739
179	38658.4508
180	38487.46183
181	38485.17266
182	38445.4123
183	38420.81384
184	38413.27725
185	38379.43
186	38371.94766
187	38362.62342
188	38339.28544
189	38306.55564
190	38188.39016
191	38183.23134
192	38127.46991
193	38121.7229
194	38091.41556
195	37998.09609
196	37977.5826
197	37881.55978
198	37851.27875
199	37764.28798
200	37733.47128
201	37652.88581
202	37620.25991
203	37589.64783
204	37576.78202
205	37571.12918
206	37529.45816
207	37509.19299
208	37480.55605
209	37460.10249
210	37425.67155
211	37339.09218
212	37314.1212
213	37306.50032
214	37303.02896
215	37284.73424
216	37209.16951
217	37182.61475
218	37160.13496
219	37134.97336
220	37011.2786
221	36988.06172
222	36972.55566
223	36947.07985
224	36918.91611
225	36913.90177
226	36909.43967
227	36886.71933
228	36758.95255
229	36644.41954
230	36626.60187
231	36570.66382
232	36566.07043
233	36550.15444
234	36546.41965
235	36533.94699
236	36423.46959
237	36376.34627
238	36369.01901
239	36264.34431
240	36244.05524
241	36239.87066
242	36221.39176
243	36210.03129
244	36198.37782
245	36189.49204
246	36178.71051
247	36127.95339
248	36079.62229
249	36061.99055
250	36011.00862
251	35999.54953
252	35995.85116
253	35940.85123
254	35845.28872
255	35828.37069
256	35824.83796
257	35808.43412
258	35760.05004
259	35744.26639
260	35665.64653
261	35637.67119
262	35556.2608
263	35539.95207
264	35468.71879
265	35458.26867
266	35405.46451
267	35331.43575
